,Fall,Major Name,Male,Female
381,1982,Air Systems,126,9
382,1982,Animal Sciences,261,247
383,1982,Anthropology,34,36
384,1982,Application Design,0,12
385,1982,Architectural Studies,412,171
386,1982,Architecture,197,38
387,1982,Art Education,13,59
388,1982,Art History,16,47
389,1982,Art and Design,150,210
390,1982,Asian Studies,8,19
391,1982,Astronomy,14,1
392,1982,Atmospheric Sciences,17,6
393,1982,Avionics,9,0
394,1982,BUS EDUC,5,26
395,1982,Biochemistry,54,28
396,1982,Biology,101,104
397,1982,Biophysics & Computnl Biology,20,6
398,1982,Broadcast Journalism,18,21
399,1982,Business Administration,641,506
400,1982,CER ENGR,87,30
401,1982,CERAMICS,0,1
402,1982,CONSM ECON,1,1
403,1982,CORE CURR,76,39
404,1982,Chemical Engineering,419,132
405,1982,Chemical Physics,4,2
406,1982,Chemistry,415,135
407,1982,Civil Engineering,568,104
408,1982,Classical Philology,9,2
409,1982,Classics,4,2
410,1982,Communication,18,23
411,1982,Community Health,10,30
412,1982,Comparative Literature,19,24
413,1982,Computer Engineering,301,56
414,1982,Computer Science,721,245
415,1982,Crafts,5,20
416,1982,DAIRY SCI,44,23
417,1982,DIETETICS,0,46
418,1982,Dance,2,45
419,1982,ED POL ST,33,33
420,1982,ED SEC&CON,44,73
421,1982,EDUC ELEMENTARY,16,129
422,1982,EDUC GEN,27,108
423,1982,EDUC IDISC,5,3
424,1982,ENGR MECH,35,7
425,1982,ENGR PHYS,79,9
426,1982,ENV ENGR,25,5
427,1982,ENV SCI,11,4
428,1982,EXT EDUC,2,10
429,1982,Early Childhood Education,0,38
430,1982,Economics,142,39
431,1982,Ed Organization and Leadership,55,75
432,1982,Educ Voc Tech,55,58
433,1982,Educational Psychology,69,103
434,1982,Electrical Engineering,1353,159
435,1982,Elementary Education,21,361
436,1982,English,50,60
437,1982,Entomology,26,7
438,1982,FAM&CON EC,0,9
439,1982,Finance,348,209
440,1982,Food Science & Human Nutrition,72,134
441,1982,Forestry,76,24
442,1982,French,10,23
443,1982,GEN AGR,33,11
444,1982,GEN CURR,960,1222
445,1982,GEN ENGR,400,152
446,1982,GEN H ECON,0,15
447,1982,Genetics,2,3
448,1982,Geography,28,8
449,1982,Geology,80,34
450,1982,German,12,8
451,1982,Graphic Design,43,141
452,1982,H DVL-FAM,5,65
453,1982,HEALTH&SAF,9,5
454,1982,HLTH EDUC,8,64
455,1982,HLTH PL AD,3,11
456,1982,HOME ECON,0,41
457,1982,HOME MGMT,0,9
458,1982,HR&FS,0,47
459,1982,HR&FS A&ID,0,7
460,1982,HR&FS GEN,0,9
461,1982,HU DEV&FAM,4,14
462,1982,History,47,24
463,1982,Horticulture,34,29
464,1982,INST MGMT,0,8
465,1982,INT DSGN,10,162
466,1982,Industrial Agriculture,43,13
467,1982,Industrial Design,45,50
468,1982,Industrial Engineering,124,56
469,1982,Italian,2,3
470,1982,Journalism,16,21
471,1982,Kinesiology,120,133
472,1982,LAB&IN REL,43,31
473,1982,Landscape Architecture,90,56
474,1982,Law,450,208
475,1982,Leisure Studies,23,25
476,1982,Library & Information Science,38,117
477,1982,Linguistics,33,41
478,1982,MARKETING,102,121
479,1982,METAL ENGR,142,33
480,1982,MKT TEXT&A,1,124
481,1982,MOTOR DEV,2,21
482,1982,MOTOR P&SP,9,9
483,1982,MUS-VOICE,15,33
484,1982,MUSIC-COMP,10,3
485,1982,MUSIC-INST,53,53
486,1982,MUSIC-OPEN,1,0
487,1982,Mathematics,124,35
488,1982,Mechanical Agriculture,37,0
489,1982,Mechanical Engineering,868,86
490,1982,Microbiology,40,33
491,1982,Molecular & Integrative Physi,40,16
492,1982,Music,110,108
493,1982,Music Education,130,164
494,1982,Music History,2,3
495,1982,News-Editorial,54,71
496,1982,Nuclear Engineering,171,15
497,1982,Nutritional Sciences,14,26
498,1982,ORN HORT,42,50
499,1982,OUTDR REC,20,29
500,1982,PERFORM ST,17,9
501,1982,PLANT PATH,29,12
502,1982,PRE-JOURN,47,103
503,1982,PRE-MED,31,38
504,1982,PROG MANAG,39,65
505,1982,PUB ADMIN,9,4
506,1982,Philosophy,29,4
507,1982,Physics,337,28
508,1982,Plant Biology,15,15
509,1982,Political Science,30,10
510,1982,Professional Pilot,7,2
511,1982,Psychology,96,88
512,1982,REST MGMT,32,24
513,1982,SCH HEALTH,5,9
514,1982,SOC SCI SP,3,5
515,1982,SOCIAL SCI,1,2
516,1982,Secondary Education,9,12
517,1982,Slavic Languages & Literature,5,15
518,1982,Social Work,64,229
519,1982,Sociology,24,20
520,1982,Spanish,15,31
521,1982,Special Education,15,91
522,1982,Speech & Hearing Science,11,129
523,1982,Speech Communication,33,29
524,1982,Statistics,13,2
525,1982,TCH BIOL,3,7
526,1982,TCH CS,5,4
527,1982,TCH DANCE,0,2
528,1982,TCH ENGL,15,46
529,1982,TCH GEN SCIENCE,3,3
530,1982,TCH KINES,4,3
531,1982,TCH LIFE SCI,2,4
532,1982,TCH PHYS SCI,2,2
533,1982,TCH SOC ST,18,13
534,1982,TCH SPEECH,2,7
535,1982,TECH ED SP,39,23
536,1982,TEXT-APPRL,0,12
537,1982,THER REC,6,82
538,1982,Teaching of Biological Science,1,0
539,1982,Teaching of Chemistry,2,3
540,1982,Teaching of English Sec Lang,18,59
541,1982,Teaching of French,1,11
542,1982,Teaching of German,3,0
543,1982,Teaching of Latin,3,2
544,1982,Teaching of Mathematics,8,18
545,1982,Teaching of Physics,0,1
546,1982,Teaching of Spanish,2,26
547,1982,Theatre,87,73
548,1982,Theoretical & Applied Mechans,48,4
549,1982,UG NON-DEG,0,18
550,1982,UNASSIGNED,355,376
551,1982,UNCLASS,100,139
