Fall,College,Major Name,Total
1981,Business,MARKETING,186
1981,Media,Advertising,197
1981,Applied Health Sciences,Kinesiology,208
1981,LAS,UNCLASS,215
1981,Engineering,Civil Engineering,218
1981,Social Work,Social Work,221
1981,Fine and Applied Arts,Art and Design,228
1981,Fine and Applied Arts,Music Education,235
1981,Fine and Applied Arts,Music,241
1981,LAS,Chemistry,248
1981,ACES,Agricultural & Applied Econ,275
1981,ACES,Physics,286
1981,LAS,Chemistry,289
1981,Engineering,Computer Engineering,307
1981,Engineering,Electrical Engineering,326
1981,VetMed,Veterinary Medicine,350
1981,Engineering,Aero & Astro Engineering,380
1981,ACES,Animal Sciences,405
1981,Education,Elementary Education,432
1981,Business,Business Administration,436
1981,Business,Finance,460
1981,LAS,Chemical Engineering,473
1981,Engineering,GEN ENGR,528
1981,Engineering,Computer Science,557
1981,Engineering,Civil Engineering,572
1981,Fine and Applied Arts,Architectural Studies,597
1981,Law,Law,622
1981,Business,UNASSIGNED,669
1981,Engineering,Mechanical Engineering,806
1981,Business,Business Administration,851
1981,Engineering,Electrical Engineering,1177
1981,Business,Accountancy,1433
1981,LAS,GEN CURR,2461
1982,Engineering,Agricultural Engineering,1
1982,ACES,Animal Sciences,1
1982,LAS,Classics,1
1982,Engineering,CERAMICS,1
1982,ACES,Teaching of Biological Science,1
1982,ACES,Teaching of Physics,1
1982,Engineering,ENGR PHYS,1
1982,Applied Health Sciences,Leisure Studies,1
1982,ACES,Mechanical Agriculture,1
1982,Fine and Applied Arts,MUSIC-OPEN,1
1982,Engineering,Nuclear Engineering,1
1982,LAS,Psychology,1
1982,LAS,TCH SOC ST,1
1982,ACES,Wood Sciences,1
1982,ACES,CONSM ECON,2
1982,ACES,Teaching of Chemistry,2
1982,Engineering,ENGR MECH,2
1982,Engineering,Industrial Engineering,2
1982,Fine and Applied Arts,TCH DANCE,2
1982,Engineering,Aero & Astro Engineering,3
1982,Engineering,Civil Engineering,3
1982,Applied Life Sciences,Community Health,3
1982,Engineering,Computer Engineering,3
1982,ACES,Teaching of Chemistry,3
1982,ACES,Teaching of German,3
1982,ACES,Teaching of Mathematics,3
1982,Engineering,Nuclear Engineering,3
1982,LAS,SOCIAL SCI,3
1982,ACES,Agr & Environmental Cmc & Educ,4
1982,Engineering,Agricultural Engineering,4
1982,ACES,Teaching of French,4
1982,Law,Law,4
1982,Education,TCH PHYS SCI,4
1982,Fine and Applied Arts,Architecture,5
1982,Fine and Applied Arts,Art and Design,5
1982,LAS,Classics,5
1982,Engineering,CER ENGR,5
1982,ACES,Teaching of Latin,5
1982,Engineering,Electrical Engineering,5
1982,LAS,Genetics,5
1982,LAS,Italian,5
1982,Fine and Applied Arts,Music History,5
1982,LAS,TCH ENGL,5
1982,LAS,Chemical Physics,6
1982,Education,TCH GEN SCIENCE,6
1982,Education,TCH LIFE SCI,6
1982,ACES,HR&FS A&ID,7
1982,Applied Health Sciences,TCH KINES,7
1982,LAS,TCH SOC ST,7
1982,VetMed,Veterinary Medical Science,7
1982,Education,EDUC IDISC,8
1982,ACES,Teaching of French,8
1982,ACES,INST MGMT,8
1982,Applied Health Sciences,SOC SCI SP,8
1982,Aviation,Avionics,9
1982,ACES,Speech & Hearing Science,9
1982,Business,Teaching of Spanish,9
1982,ACES,FAM&CON EC,9
1982,ACES,HOME MGMT,9
1982,ACES,HR&FS GEN,9
1982,Engineering,Mechanical Engineering,9
1982,Aviation,Professional Pilot,9
1982,Engineering,TCH CS,9
1982,LAS,TCH SPEECH,9
1982,Engineering,Computer Science,10
1982,ACES,Food Science & Human Nutrition,10
1982,LAS,TCH BIOL,10
1982,LAS,Classical Philology,11
1982,Engineering,Industrial Engineering,11
1982,ACES,Application Design,12
1982,ACES,EXT EDUC,12
1982,Engineering,METAL ENGR,12
1982,ACES,TEXT-APPRL,12
1982,Fine and Applied Arts,Dance,13
1982,Fine and Applied Arts,MUSIC-COMP,13
1982,LAS,PUB ADMIN,13
1982,VetMed,VMS-Veterinary Clinical Medcne,13
1982,Fine and Applied Arts,Art and Design,14
1982,Engineering,GEN ENGR,14
1982,Applied Health Sciences,HEALTH&SAF,14
1982,Applied Health Sciences,HLTH PL AD,14
1982,Applied Health Sciences,SCH HEALTH,14
1982,LAS,Astronomy,15
1982,ACES,Statistics,15
1982,Business,Theatre,15
1982,Engineering,ENV SCI,15
1982,ACES,GEN H ECON,15
1982,Engineering,Computer Engineering,16
1982,ACES,Forestry,16
1982,Engineering,Civil Engineering,17
1982,ACES,Food Science & Human Nutrition,17
1982,ACES,HU DEV&FAM,18
1982,Applied Health Sciences,MOTOR P&SP,18
1982,Education,UG NON-DEG,18
1982,Engineering,Aero & Astro Engineering,19
1982,Business,Teaching of Spanish,19
1982,Engineering,GEN ENGR,19
1982,Engineering,Agricultural Engineering,20
1982,Fine and Applied Arts,Architecture,20
1982,Engineering,GEN ENGR,20
1982,LAS,German,20
1982,LAS,Slavic Languages & Literature,20
1982,ACES,Secondary Education,21
1982,ACES,Horticulture,21
1982,Law,Law,21
1982,Education,TCH ENGL,21
1982,Fine and Applied Arts,Theatre,22
1982,LAS,Atmospheric Sciences,23
1982,ACES,Teaching of Mathematics,23
1982,Engineering,Industrial Engineering,23
1982,Applied Health Sciences,MOTOR DEV,23
1982,Education,TCH SOC ST,23
1982,ACES,Agricultural Education,25
